Openissues: 1976
Closedissues 2324
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=309 Days 23 Hours 38 Minutes 57 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=544 Days 15 Hours 55 Minutes 12 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=13 Days 13 Hours 11 Minutes 10 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=14 Days 5 Hours 17 Minutes 27 Seconds}
{comments=6, state=closed, durationTime=3 Days 21 Hours 6 Minutes 22 Seconds}
{comments=6, state=closed, durationTime=16 Days 8 Hours 27 Minutes 24 Seconds}
{comments=6, state=closed, durationTime=10 Days 23 Hours 2 Minutes 20 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=4 Days 6 Hours 38 Minutes 55 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=0 Days 3 Hours 49 Minutes 7 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=3 Days 1 Hours 48 Minutes 11 Seconds}
{comments=6, state=closed, durationTime=1532 Days 3 Hours 25 Minutes 50 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=12 Days 5 Hours 14 Minutes 59 Seconds}
{comments=6, state=closed, durationTime=2 Days 0 Hours 23 Minutes 21 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=0 Days 21 Hours 18 Minutes 59 Seconds}
{comments=6, state=closed, durationTime=813 Days 17 Hours 21 Minutes 32 Seconds}
{comments=6, state=closed, durationTime=6 Days 2 Hours 5 Minutes 29 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=86 Days 7 Hours 16 Minutes 16 Seconds}
{comments=6, state=closed, durationTime=0 Days 1 Hours 11 Minutes 56 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=11 Days 2 Hours 27 Minutes 34 Seconds}
{comments=6, state=closed, durationTime=12 Days 8 Hours 9 Minutes 52 Seconds}
{comments=6, state=closed, durationTime=0 Days 12 Hours 49 Minutes 49 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=1 Days 19 Hours 28 Minutes 59 Seconds}
{comments=6, state=closed, durationTime=4 Days 6 Hours 46 Minutes 40 Seconds}
{comments=6, state=closed, durationTime=97 Days 2 Hours 9 Minutes 45 Seconds}
{comments=6, state=closed, durationTime=23 Days 0 Hours 27 Minutes 23 Seconds}
{comments=6, state=closed, durationTime=3 Days 7 Hours 59 Minutes 30 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=1 Days 22 Hours 27 Minutes 59 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=1 Days 22 Hours 30 Minutes 28 Seconds}
{comments=6, state=closed, durationTime=12 Days 12 Hours 14 Minutes 23 Seconds}
{comments=6, state=closed, durationTime=64 Days 21 Hours 30 Minutes 13 Seconds}
{comments=6, state=closed, durationTime=125 Days 10 Hours 31 Minutes 19 Seconds}
{comments=6, state=closed, durationTime=156 Days 6 Hours 23 Minutes 25 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=293 Days 6 Hours 34 Minutes 48 Seconds}
{comments=6, state=closed, durationTime=296 Days 9 Hours 11 Minutes 47 Seconds}
{comments=6, state=closed, durationTime=303 Days 12 Hours 7 Minutes 37 Seconds}
{comments=6, state=closed, durationTime=382 Days 15 Hours 10 Minutes 38 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=40 Days 23 Hours 16 Minutes 34 Seconds}
{comments=6, state=closed, durationTime=98 Days 9 Hours 26 Minutes 54 Seconds}
{comments=6, state=closed, durationTime=156 Days 18 Hours 38 Minutes 19 Seconds}
{comments=6, state=closed, durationTime=267 Days 8 Hours 38 Minutes 9 Seconds}
{comments=6, state=closed, durationTime=372 Days 20 Hours 9 Minutes 35 Seconds}
{comments=6, state=closed, durationTime=4 Days 7 Hours 3 Minutes 8 Seconds}
{comments=6, state=closed, durationTime=39 Days 13 Hours 42 Minutes 20 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=9 Days 13 Hours 22 Minutes 12 Seconds}
{comments=5, state=closed, durationTime=10 Days 13 Hours 14 Minutes 55 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=3 Days 18 Hours 57 Minutes 34 Seconds}
{comments=5, state=closed, durationTime=0 Days 0 Hours 14 Minutes 13 Seconds}
{comments=5, state=closed, durationTime=69 Days 20 Hours 51 Minutes 51 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=42 Days 3 Hours 32 Minutes 48 Seconds}
{comments=5, state=closed, durationTime=24 Days 0 Hours 24 Minutes 31 Seconds}
{comments=5, state=closed, durationTime=167 Days 18 Hours 10 Minutes 7 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=5 Days 9 Hours 46 Minutes 54 Seconds}
{comments=5, state=closed, durationTime=0 Days 22 Hours 16 Minutes 13 Seconds}
{comments=5, state=closed, durationTime=0 Days 3 Hours 54 Minutes 36 Seconds}
{comments=5, state=closed, durationTime=307 Days 21 Hours 34 Minutes 39 Seconds}
{comments=5, state=closed, durationTime=13 Days 0 Hours 37 Minutes 27 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=0 Days 20 Hours 52 Minutes 2 Seconds}
{comments=5, state=closed, durationTime=81 Days 20 Hours 44 Minutes 48 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=478 Days 21 Hours 14 Minutes 13 Seconds}
{comments=5, state=closed, durationTime=15 Days 23 Hours 13 Minutes 31 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=69 Days 18 Hours 14 Minutes 51 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=155 Days 11 Hours 34 Minutes 24 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=20 Days 19 Hours 3 Minutes 8 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=19 Days 16 Hours 55 Minutes 2 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=419 Days 2 Hours 19 Minutes 7 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=15 Days 19 Hours 35 Minutes 11 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=12 Days 10 Hours 54 Minutes 49 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=2 Days 16 Hours 24 Minutes 33 Seconds}
{comments=5, state=closed, durationTime=0 Days 2 Hours 29 Minutes 47 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=1162 Days 15 Hours 36 Minutes 13 Seconds}
